[15687199, 369121]
Loading pretrained model:models/backbones/pretrained/3x3resnet50-imagenet.pth


Nbr of trainable parameters: 50246080

Epoch 1 completed | Ls 0.2695 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0720 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2667 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0730 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2641 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0750 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2621 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0760 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2599 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0770 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2577 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0770 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2556 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0780 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2535 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0790 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2514 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0800 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2491 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0810 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2470 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0820 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2453 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0830 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2434 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0840 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2416 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0840 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2399 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0850 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2381 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0860 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2362 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0870 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2343 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0880 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2325 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0890 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2311 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0900 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2295 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0910 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2279 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0910 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2264 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0920 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2249 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0930 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2233 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0940 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2217 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0950 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2202 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0960 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2189 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0970 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2175 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0970 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2161 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0980 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2148 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0990 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2135 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1000 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2121 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1000 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2107 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1010 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2093 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1020 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2082 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1030 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2070 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1040 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2058 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1050 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2046 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1050 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2035 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1060 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2022 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1070 IoU_ul 0.0000
Epoch 1 completed | Ls 0.2009 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1080 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1998 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.1090 IoU_ul 0.0000
